q_tag,path,title,summary,created-on,last-modified
0,https://www.zu.ac.ae/main/en/URC2022/URCArchive,Archive,nan,nan,nan
1,https://www.zu.ac.ae/main/en/URC2022/Sponsors,Sponsors,nan,nan,nan
2,https://www.zu.ac.ae/main/en/URC2022/Registration,Registration,nan,nan,nan
3,https://www.zu.ac.ae/main/en/URC2022/CallForPapers,Call For Papers,nan,nan,nan
4,https://www.zu.ac.ae/main/en/URC2022/Organizers,Organizing Committee,nan,nan,nan
5,https://www.zu.ac.ae/main/en/URC2022/index,Undergraduate Research Conference 2021,nan,nan,nan
6,https://www.zu.ac.ae/main/en/URC2022/index,Undergraduate Research Conference 2021,nan,nan,nan
7,https://www.zu.ac.ae/main/en/URC2022/_files/TPSTC_Form,Technical Program and Special Track Committee Form,nan,nan,nan
8,https://www.zu.ac.ae/main/en/zu-emsat-sessions/session-two,Zayed University - Session on How To Approach The EmSAT Math Exam,nan,nan,nan
9,https://www.zu.ac.ae/main/en/zu-emsat-sessions/index,Zayed University - Session on How To Approach The EmSAT Math Exam,nan,nan,nan
10,https://www.zu.ac.ae/main/en/graduation-theme-film/index,"""Future Makers"" Graduation Theme Film 2022 – Participation Application",nan,nan,nan
11,https://www.zu.ac.ae/main/en/uaeinnovates-events-2022/week04,UAE Innovates 2022,nan,nan,nan
12,https://www.zu.ac.ae/main/en/uaeinnovates-events-2022/week03,UAE Innovates 2022,nan,nan,nan
13,https://www.zu.ac.ae/main/en/uaeinnovates-events-2022/week02,UAE Innovates 2022,nan,nan,nan
14,https://www.zu.ac.ae/main/en/uaeinnovates-events-2022/week01,UAE Innovates 2022,nan,nan,nan
15,https://www.zu.ac.ae/main/en/uaeinnovates-events-2022/index,UAE Innovates 2022,nan,nan,nan
16,https://www.zu.ac.ae/main/en/eblogs/index,e-Blogs,nan,nan,nan
17,https://www.zu.ac.ae/main/en/request-data/index,Request or Propose Open Data,nan,nan,nan
18,https://www.zu.ac.ae/main/en/sitemap-architecture-layout,Site Map,nan,nan,nan
19,https://www.zu.ac.ae/main/en/student-careers/contact,Contact Us,nan,nan,nan
20,https://www.zu.ac.ae/main/en/student-careers/FAQ,Frequently Asked Questions ,nan,nan,nan
21,https://www.zu.ac.ae/main/en/student-careers/Internship,Internship - Gateway to Employment,nan,nan,nan
22,https://www.zu.ac.ae/main/en/student-careers/ONCE,On-Campus Employment Program (ONCE),nan,nan,nan
23,https://www.zu.ac.ae/main/en/student-careers/Employer-Engagement,Employer Support and Engagement,Updated Page ,nan,nan
24,https://www.zu.ac.ae/main/en/student-careers/Graduate-Employment-Support,Graduate Employment Support,Graduate Employment Support,nan,nan
25,https://www.zu.ac.ae/main/en/student-careers/CALS,Career Advocate Leaders (CALS),Career Advocate Leaders (CALS),nan,nan
26,https://www.zu.ac.ae/main/en/student-careers/Student-Career-Counseling,Student Career Counseling,Updated Page ,nan,nan
27,https://www.zu.ac.ae/main/en/student-careers/index,About the Department ,nan,nan,nan
